minecraft:firework_star,Firework Arrow,Firework Tipped,t,noFire,inheritFireworkStarNBT@damageMult&0.125,texture&40
minecraft:ghast_tear,,,e,Wet,,none&
minecraft:echo_shard,Recovery Arrow,Echo Finned,f,_,applyEffect&minecraft:darkness&4&1@particle&minecraft:sculk_charge_pop@echoLink,texture&3
minecraft:phantom_membrane,,,e,,,none&
minecraft:netherite_scrap,,,t,,,texture&41
twigs:pebble,,,t,,,texture&42
twigs:roseate_seashell,,,t,,,texture&43
twigs:opaline_seashell/ecologics:seashell,,,f,_,,texture&6
twigs:bamboo_leaves,,,f,noFire,,texture&7
create:shaft,,,s,SturdyCore,outputCountMult&0.5,model&create:shaft
create:cogwheel,,,s,SturdyCore noHidesInfo,outputCountMult&0.5,model&create:cogwheel
create:propeller,,,f,noHidesInfo,outputCountMult&0.75,texture&161
create:brass_hand,,,t,noHidesInfo,outputCountMult&0.75,texture&162
farmersdelight:flint_knife,,,t,noHidesInfo noFire,outputCountMult&0.5,texture&163
minecraft:pufferfish,,,t,,,texture&164
minecraft:sugar_cane,,,s,noFire,,texture&4
minecraft:grindstone,Grindstone Arrow,Grindstone Attached to a,t,reqSturdyCore noHidesInfo,outputCountMult&0,model&minecraft:grindstone
minecraft:[DYE]_carpet,Harmless [DYE] Arrow,Soft,t,noFire reqStick noWet noHidesInfo,"skipThisComment&requires something sticky (or a regular stick) to prevent this from exploding the combination count, also noWet because it would be quite noisy if it was wet@damageMult&0@silent@flySpeed&0.75",texture&24+[DYE_INDEX]
_,_,_,e,_,_,none&
minecraft:sculk_sensor,Sculk Arrow,Sculk Finned,f,_,isSensor,texture&162
minecraft:carrot,Carrot Tipped Arrow,Carrot Tipped,t,noFire,damageMult&0.25,texture&165
minecraft:kelp,Wet Kelp Arrow,Kelp Finned,f,noFire Wet,flySpeed&0.75@damageMult&0.75@arrowDrift,texture&163
minecraft:quartz,,,,,,
minecraft:emerald,,,,,,
minecraft:chorus_fruit,,,,,,
create:rose_quartz,,,,,,
